Search_Type,Layer_Structure,Hyperparameters,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Test_Loss,Test_Accuracy
Grid,"(64,)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.001}",0.19088876247406006,0.9642999768257141,0.19766317307949066,0.9638000130653381,0.19854621589183807,0.961899995803833
Grid,"(64,)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.01}",0.2330504059791565,0.9608200192451477,0.23807299137115479,0.960099995136261,0.24226638674736023,0.9591000080108643
Grid,"(64,)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.01}",0.267718642950058,0.9524999856948853,0.274158239364624,0.9531000256538391,0.27147814631462097,0.9505000114440918
Grid,"(64,)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.01}",0.3098353445529938,0.9467999935150146,0.30193623900413513,0.9488000273704529,0.306248277425766,0.9466000199317932
Grid,"(64,)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.01}",0.21695083379745483,0.9652400016784668,0.22340814769268036,0.963699996471405,0.22620971500873566,0.9620000123977661
Grid,"(64,)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.01}",0.22719810903072357,0.9617400169372559,0.22788795828819275,0.9624999761581421,0.23388884961605072,0.9599000215530396
Grid,"(64,)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.01}",0.28789737820625305,0.9485800266265869,0.28157564997673035,0.9517999887466431,0.28761881589889526,0.9444000124931335
Grid,"(64,)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.01}",0.27590805292129517,0.95305997133255,0.2712685465812683,0.9552000164985657,0.27614423632621765,0.9527000188827515
Grid,"(64,)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.01}",0.3081910312175751,0.9466000199317932,0.2975865304470062,0.9509000182151794,0.3021852672100067,0.9477999806404114
Grid,"(64,)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.01}",0.3782944679260254,0.9221799969673157,0.35952621698379517,0.9297000169754028,0.37274935841560364,0.9243000149726868
Grid,"(64,)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.01}",0.30160653591156006,0.9470000267028809,0.29060259461402893,0.9513000249862671,0.29667234420776367,0.9495000243186951
Grid,"(64,)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.01}",0.31386426091194153,0.9436399936676025,0.300205796957016,0.9501000046730042,0.30878543853759766,0.9458000063896179
Grid,"(64,)","{'activation': 'swish', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.01}",0.3608122169971466,0.9259799718856812,0.3421003818511963,0.9323999881744385,0.3502064049243927,0.9280999898910522
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.0}",0.04391094669699669,0.9870200157165527,0.09710574895143509,0.9728000164031982,0.08632426708936691,0.9728999733924866
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.2, 'regularizer': 'l2', 'reg_value': 0.0}",0.03681840002536774,0.9890000224113464,0.08912530541419983,0.9749000072479248,0.09021948277950287,0.973800003528595
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 64, 'dropout': 0.5, 'regularizer': 'l2', 'reg_value': 0.0}",0.10243619978427887,0.9701600074768066,0.15187424421310425,0.9632999897003174,0.15524592995643616,0.9611999988555908
Grid,"(64, 32)","{'activation': 'relu', 'optimizer': 'adam', 'batch_size': 128, 'dropout': 0.0, 'regularizer': 'l2', 'reg_value': 0.0}",0.05463903397321701,0.9851400256156921,0.09492873400449753,0.9721999764442444,0.09974926710128784,0.9692000150680542
